first_name,last_name,party,state,twitter_handle,position
Doc,Hastings,R,WA,DocHastings,rep
Martin,Heinrich,D,NM,MartinHeinrich,rep
Dean,Heller,R,NV,SenDeanHeller,rep
Jeb,Hensarling,R,TX,RepHensarling,rep
Wally,Herger,R,CA,,rep
Stephanie,Herseth Sandlin,D,SD,,rep
Brian,Higgins,D,NY,RepBrianHiggins,rep
Baron,Hill,D,IN,,rep
Jim,Himes,D,CT,JAHimes,rep
Maurice,Hinchey,D,NY,mauricehinchey,rep
Rubén,Hinojosa,D,TX,USRepRHinojosa,rep
Mazie,Hirono,D,HI,MazieHirono,rep
Paul,Hodes,D,NH,PaulHodes,rep
Peter,Hoekstra,R,MI,petehoekstra,rep
Tim,Holden,D,PA,RepTimHolden,rep
Rush,Holt,D,NJ,,rep
Michael,Honda,D,CA,RepMikeHonda,rep
Steny,Hoyer,D,MD,LeaderHoyer,rep
Duncan,Hunter,R,CA,Rep_Hunter,rep
Bob,Inglis,R,SC,bobinglis,rep
Jay,Inslee,D,WA,JayInslee,rep
Steve,Israel,D,NY,RepSteveIsrael,rep
Darrell,Issa,R,CA,DarrellIssa,rep
Jesse,Jackson,D,IL,RepJJJr,rep
Sheila,Jackson Lee,D,TX,JacksonLeeTX18,rep
Lynn,Jenkins,R,KS,RepLynnJenkins,rep
Eddie,Johnson,D,TX,RepEBJ,rep
Sam,Johnson,R,TX,SamsPressShop,rep
Hank,Johnson,D,GA,RepHankJohnson,rep
Timothy,Johnson,R,IL,RepTimJohnson,rep
Walter,Jones,R,NC,RepWalterJones,rep
Jim,Jordan,R,OH,Jim_Jordan,rep
Steve,Kagen,D,WI,,rep
Paul,Kanjorski,D,PA,,rep
Marcy,Kaptur,D,OH,RepMarcyKaptur,rep
Patrick,Kennedy,D,RI,,rep
Dale,Kildee,D,MI,dalekildee,rep
Carolyn,Kilpatrick,D,MI,RepKilpatrick,rep
Mary Jo,Kilroy,D,OH,RepMaryJoKilroy,rep
Ron,Kind,D,WI,RepRonKind,rep
Peter,King,R,NY,RepPeteKing,rep
Steve,King,R,IA,SteveKingIA,rep
Jack,Kingston,R,GA,JackKingston,rep
Mark,Kirk,R,IL,SenatorKirk,rep
Ann,Kirkpatrick,D,AZ,RepKirkpatrick,rep
Larry,Kissell,D,NC,RepLarryKissell,rep
Ron,Klein,D,FL,,rep
John,Kline,R,MN,RepJohnKline,rep
Suzanne,Kosmas,D,FL,,rep
Frank,Kratovil,D,MD,,rep
Dennis,Kucinich,D,OH,RepKucinich,rep
Doug,Lamborn,R,CO,RepDLamborn,rep
Leonard,Lance,R,NJ,RepLanceNJ7,rep
Jim,Langevin,D,RI,JimLangevin,rep
Rick,Larsen,D,WA,RepRickLarsen,rep
John,Larson,D,CT,RepJohnLarson,rep
Tom,Latham,R,IA,TomLatham,rep
Steven,LaTourette,R,OH,SteveLaTourette,rep
Robert,Latta,R,OH,BobLatta,rep
Barbara,Lee,D,CA,RepBarbaraLee,rep
Christopher,Lee,R,NY,,rep
Sander,Levin,D,MI,RepSandyLevin,rep
Jerry,Lewis,R,CA,RepJerryLewis,rep
John,Lewis,D,GA,RepJohnLewis,rep
John,Linder,R,GA,,rep
Daniel,Lipinski,D,IL,RepLipinski,rep
Frank,LoBiondo,R,NJ,RepLoBiondo,rep
Dave,Loebsack,D,IA,DaveLoebsack,rep
Zoe,Lofgren,D,CA,RepZoeLofgren,rep
Nita,Lowey,D,NY,NitaLowey,rep
Frank,Lucas,R,OK,RepFrankLucas,rep
Blaine,Luetkemeyer,R,MO,RepBlaine,rep
Ben,Luján,D,NM,SenatorLujan,rep
Cynthia,Lummis,R,WY,SenLummis,rep
Dan,Lungren,R,CA,dan_lungren,rep
Stephen,Lynch,D,MA,RepStephenLynch,rep
Connie,Mack,R,FL,RepConnieMack,rep
Dan,Maffei,D,NY,RepDanMaffei,rep
Carolyn,Maloney,D,NY,RepMaloney,rep
Donald,Manzullo,R,IL,donmanzullo,rep
Kenny,Marchant,R,TX,RepKenMarchant,rep
Betsy,Markey,D,CO,,rep
Edward,Markey,D,MA,SenMarkey,rep
Jim,Marshall,D,GA,,rep
Eric,Massa,D,NY,EricMassa,rep
Jim,Matheson,D,UT,RepJimMatheson,rep
Doris,Matsui,D,CA,DorisMatsui,rep
Kevin,McCarthy,R,CA,GOPLeader,rep
Carolyn,McCarthy,D,NY,RepMcCarthyNY,rep
Michael,McCaul,R,TX,RepMcCaul,rep
Tom,McClintock,R,CA,RepMcClintock,rep
Betty,McCollum,D,MN,BettyMcCollum04,rep
Thaddeus,McCotter,R,MI,ThadMcCotter,rep
